Theta1,Theta2,Theta3,U,V,R,X,Y,Z
0,90,50,110,210,12,94.6,31.0,243.6
0,90,55,100,208,10,81.5,47.2,194.4
0,90,60,52,146,11,145.9,86.6,221.2
0,90,65,48,144,12,149.6,82.7,243.6
0,90,70,86,212,14,104.0,43.7,278.8
0,90,75,34,142,12,151.3,94.4,243.6
0,95,50,,,,,,
0,95,55,52,142,11,149.6,86.6,221.2
0,95,60,48,140,11,151.4,90.2,221.2
0,95,65,82,202,13,106.6,50.2,262.6
0,95,70,32,136,12,156.3,96.0,243.6
0,95,75,78,204,12,99.6,57.7,243.6
0,100,50,,,,,,
0,100,55,48,132,11,158.6,90.2,221.2
0,100,60,40,128,11,162.3,97.5,221.2
0,100,65,82,196,14,115.4,46.6,278.8
0,100,70,74,192,14,118.2,52.3,278.8
0,100,75,68,198,17,123.8,46.6,316.1
0,105,50,56,130,11,160.5,83.0,221.2
0,105,55,40,122,11,167.7,97.5,221.2
0,105,60,72,178,12,121.3,62.7,243.6
0,105,65,72,184,18,134.2,41.8,325.8
0,105,70,64,180,13,123.5,64.0,262.6
0,105,75,58,186,17,130.9,52.5,316.1
0,110,50,,,,,,
0,110,55,32,112,11,176.8,104.8,221.2
0,110,60,60,168,12,129.6,72.7,243.6
0,110,65,60,172,17,139.1,51.3,316.1
0,110,70,54,166,14,136.8,66.6,278.8
0,110,75,46,172,14,132.5,72.3,278.8
0,115,50,74,164,12,132.9,61.0,243.6
0,115,55,60,160,12,136.3,72.7,243.6
0,115,60,56,160,14,141.1,65.2,278.8
0,115,65,50,162,15,141.7,64.8,292.9
0,115,70,48,156,12,139.6,82.7,243.6
0,115,75,38,154,16,148.5,68.3,305.2
0,120,50,,,,,,
0,120,55,52,150,13,146.6,73.3,262.6
0,120,60,48,148,14,149.7,70.9,278.8
0,120,65,48,150,19,154.0,52.2,334.4
0,120,70,38,152,18,152.0,60.7,325.8
0,120,75,36,148,19,155.0,58.6,334.4
0,125,50,60,146,13,149.6,67.1,262.6
0,125,55,44,140,11,151.4,93.9,221.2
0,125,60,42,136,11,155.0,95.7,221.2
0,125,65,,,,,,
0,125,70,32,136,15,159.0,76.8,292.9
0,125,75,22,134,15,160.3,83.5,292.9
0,130,50,58,134,14,159.7,63.7,278.8
0,130,55,48,134,18,162.0,55.1,325.8
0,130,60,38,126,12,164.6,91.0,243.6
0,130,65,34,128,17,165.0,66.6,316.1
0,130,70,30,126,19,166.6,61.7,334.4
0,130,75,,,,,,
0,135,50,54,126,12,164.6,77.7,243.6
0,135,55,38,118,11,171.4,99.3,221.2
0,135,60,,,,,,
0,135,65,28,114,12,174.6,99.4,243.6
0,135,70,20,116,15,172.3,84.8,292.9
0,135,75,,,,,,
0,140,50,52,120,11,169.6,86.6,221.2
0,140,55,36,114,14,173.9,79.5,278.8
0,140,60,28,110,12,177.9,99.4,243.6
0,140,65,,,,,,
0,140,70,18,102,11,185.9,117.5,221.2
0,140,75,,,,,,
0,145,50,48,114,12,174.6,82.7,243.6
0,145,55,34,102,12,184.6,94.4,243.6
0,145,60,26,102,12,184.6,101.0,243.6
0,145,65,22,98,11,189.5,113.9,221.2
0,145,70,18,96,12,189.6,107.7,243.6
0,145,75,,,,,,
0,150,50,82,226,19,114.0,34.3,334.4
0,150,55,84,224,17,108.6,37.2,316.1
0,150,60,86,224,17,108.6,36.0,316.1
0,150,65,88,226,18,110.9,32.9,325.8
0,150,70,90,224,17,108.6,33.7,316.1
0,150,75,84,224,15,100.4,42.2,292.9
0,155,50,80,210,17,116.8,39.6,316.1
0,155,55,82,214,18,117.5,36.2,325.8
0,155,60,82,212,16,112.2,40.8,305.2
0,155,65,,,,,,
0,155,70,82,212,13,98.9,50.2,262.6
0,155,75,96,232,18,107.5,28.5,325.8
5,90,50,,,,,,
5,90,55,104,204,11,93.2,39.3,221.2
5,90,60,100,204,11,93.2,43.0,221.2
5,90,65,100,204,13,105.0,36.3,262.6
5,90,70,92,210,13,100.4,42.5,262.6
5,90,75,90,208,11,89.6,52.0,221.2
5,95,50,,,,,,
5,95,55,60,136,11,155.0,79.3,221.2
5,95,60,96,198,14,114.0,36.6,278.8
5,95,65,96,200,19,127.7,27.0,334.4
5,95,70,90,206,17,119.1,33.7,316.1
5,95,75,88,198,11,98.7,53.9,221.2
5,100,50,72,136,11,155.0,68.4,221.2
5,100,55,94,190,16,126.0,33.3,305.2
5,100,60,90,190,17,128.6,33.7,316.1
5,100,65,86,188,18,132.0,34.0,325.8
5,100,70,82,190,14,119.7,46.6,278.8
5,100,75,,,,,,
5,105,50,94,180,13,123.5,41.0,262.6
5,105,55,82,174,10,115.5,65.2,194.4
5,105,60,82,178,17,135.6,38.4,316.1
5,105,65,72,174,14,131.1,53.8,278.8
5,105,70,72,176,18,138.6,41.8,325.8
5,105,75,68,178,18,137.5,44.0,325.8
5,110,50,92,174,10,115.5,55.2,194.4
5,110,55,,,,,,
5,110,60,74,166,16,141.0,45.8,305.2
5,110,65,78,170,13,131.2,53.3,262.6
5,110,70,,,,,,
5,110,75,,,,,,
5,115,50,86,166,12,131.3,51.0,243.6
5,115,55,68,156,14,143.9,56.6,278.8
5,115,60,62,152,12,142.9,71.0,243.6
5,115,65,56,152,11,140.5,83.0,221.2
5,115,70,58,152,16,149.7,55.8,305.2
5,115,75,52,156,19,150.8,50.1,334.4
5,120,50,76,152,14,146.8,50.9,278.8
5,120,55,66,146,15,152.3,54.2,292.9
5,120,60,62,142,17,156.8,50.1,316.1
5,120,65,58,142,17,156.8,52.5,316.1
